date,country_code,device_code,app_id,product_id,product_version,one_star_cumulative,two_star_cumulative,three_star_cumulative,four_star_cumulative,five_star_cumulative,total_count_cumulative,average_star_cumulative,favorable_ratings_percentage_cumulative,neutral_ratings_percentage_cumulative,critical_ratings_percentage_cumulative,one_star_public,two_star_public,three_star_public,four_star_public,five_star_public,total_count_public,average_star_public,favorable_ratings_percentage_public,neutral_ratings_percentage_public,critical_ratings_percentage_public,one_star_incremental,two_star_incremental,three_star_incremental,four_star_incremental,five_star_incremental,total_count_incremental,average_star_incremental,favorable_ratings_percentage_incremental,neutral_ratings_percentage_incremental,critical_ratings_percentage_incremental,app_name,product_name,company_name,publisher_name,market_code,category_name
2024-10-28,US,ios-all,1621328561,1621328561,,47067,18528,61567,201828,2416372,2745362,4.792809,0.953681,0.022426,0.023893,47067,18528,61567,201828,2416372,2745362,4.792809,0.953681,0.022426,0.023893,47,21,75,224,2403,2770,4.774368,0.948375,0.027076,0.024549,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-10-29,US,ios-all,1621328561,1621328561,,47089,18536,61606,201937,2417731,2746899,4.792816,0.953682,0.022427,0.023891,47089,18536,61606,201937,2417731,2746899,4.792816,0.953682,0.022427,0.023891,22,8,39,109,1359,1537,4.805465,0.955107,0.025374,0.019519,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-10-30,US,ios-all,1621328561,1621328561,,47060,18521,61634,202067,2419426,2748708,4.792943,0.953718,0.022423,0.023859,47060,18521,61634,202067,2419426,2748708,4.792943,0.953718,0.022423,0.023859,-29,-15,28,130,1695,1809,4.899622,0.984889,0.015111,0.0,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-10-31,US,ios-all,1621328561,1621328561,,47082,18530,61669,202182,2420847,2750310,4.792955,0.953721,0.022423,0.023856,47082,18530,61669,202182,2420847,2750310,4.792955,0.953721,0.022423,0.023856,22,9,35,115,1421,1602,4.812734,0.958801,0.021848,0.019351,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-11-01,US,ios-all,1621328561,1621328561,,47106,18539,61710,202315,2422344,2752014,4.79296,0.953723,0.022424,0.023853,47106,18539,61710,202315,2422344,2752014,4.79296,0.953723,0.022424,0.023853,24,9,41,133,1497,1704,4.801643,0.956573,0.024061,0.019366,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-11-02,US,ios-all,1621328561,1621328561,,47119,18542,61724,202387,2422917,2752689,4.792953,0.953723,0.022423,0.023853,47119,18542,61724,202387,2422917,2752689,4.792953,0.953723,0.022423,0.023853,13,3,14,72,573,675,4.761481,0.955556,0.020741,0.023704,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-11-03,US,ios-all,1621328561,1621328561,,47142,18558,61761,202508,2424366,2754335,4.792955,0.953723,0.022423,0.023853,47142,18558,61761,202508,2424366,2754335,4.792955,0.953723,0.022423,0.023853,23,16,37,121,1449,1646,4.796476,0.953827,0.022479,0.023694,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-11-04,US,ios-all,1621328561,1621328561,,47168,18575,61798,202649,2426042,2756232,4.792963,0.953726,0.022421,0.023852,47168,18575,61798,202649,2426042,2756232,4.792963,0.953726,0.022421,0.023852,26,17,37,141,1676,1897,4.804955,0.957828,0.019504,0.022667,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-11-05,US,ios-all,1621328561,1621328561,,47195,18591,61844,202796,2427858,2758284,4.792974,0.953728,0.022421,0.02385,47195,18591,61844,202796,2427858,2758284,4.792974,0.953728,0.022421,0.02385,27,16,46,147,1816,2052,4.807505,0.956628,0.022417,0.020955,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
2024-11-06,US,ios-all,1621328561,1621328561,,47227,18602,61898,202969,2429813,2760509,4.792981,0.953731,0.022423,0.023847,47227,18602,61898,202969,2429813,2760509,4.792981,0.953731,0.022423,0.023847,32,11,54,173,1955,2225,4.801348,0.956404,0.02427,0.019326,MONOPOLY GO!,MONOPOLY GO!,Scopely,"Scopely, Inc.",apple-store,Games
